Area,Item,Year,Value
Venezuela (Bolivarian Republic of),Pesticides (total),2015,3928
Venezuela (Bolivarian Republic of),Insecticides,2015,767
Ukraine,Pesticides (total),2015,64986.5
Ukraine,Insecticides,2015,10090.35
Brazil,Pesticides (total),2015,497625.68
Brazil,Insecticides,2015,92560.02
Somalia,Pesticides (total),2015,356.5
Somalia,Insecticides,2015,100.5
Romania,Pesticides (total),2015,6608.04
Romania,Insecticides,2015,716.31
Papua New Guinea,Pesticides (total),2015,879.96
Papua New Guinea,Insecticides,2015,8.38
Mexico,Pesticides (total),2015,48292.99
Mexico,Insecticides,2015,9547.07
Madagascar,Pesticides (total),2015,401.39
Madagascar,Insecticides,2015,197.65
India,Pesticides (total),2015,56720.12
India,Insecticides,2015,29169.24
India,Insecticides,2018,30686.23
India,Pesticides (total),2018,59669.93
Madagascar,Insecticides,2018,282.75
Madagascar,Pesticides (total),2018,705.85
Mexico,Insecticides,2018,12990.86
Mexico,Pesticides (total),2018,53144.44
Papua New Guinea,Insecticides,2018,8.38
Papua New Guinea,Pesticides (total),2018,879.96
Romania,Insecticides,2018,649
Romania,Pesticides (total),2018,5243
Somalia,Insecticides,2018,120.75
Somalia,Pesticides (total),2018,443.3
Brazil,Insecticides,2018,85251.48
Brazil,Pesticides (total),2018,549280.44
Ukraine,Insecticides,2018,1806
Ukraine,Pesticides (total),2018,25343
Venezuela (Bolivarian Republic of),Insecticides,2018,767
Venezuela (Bolivarian Republic of),Pesticides (total),2018,3928
China,Insecticides,2018,79501.15
China,Pesticides (total),2018,294682.45
Algeria,Insecticides,2018,366.99
Algeria,Pesticides (total),2018,6067.35
Fiji,Insecticides,2018,520.52
Fiji,Pesticides (total),2018,1233.15
Guatemala,Insecticides,2018,551.59
Guatemala,Pesticides (total),2018,11841.7
Guatemala,Pesticides (total),2021,13227.52
Guatemala,Insecticides,2021,616.14
Fiji,Pesticides (total),2021,909.39
Fiji,Insecticides,2021,383.86
Algeria,Pesticides (total),2021,6067.35
Algeria,Insecticides,2021,366.99
China,Pesticides (total),2021,244820.82
China,Insecticides,2021,66077.19
Venezuela (Bolivarian Republic of),Pesticides (total),2021,3928
Venezuela (Bolivarian Republic of),Insecticides,2021,767
Ukraine,Pesticides (total),2021,26974
Ukraine,Insecticides,2021,1542
Brazil,Pesticides (total),2021,719507.44
Brazil,Insecticides,2021,122182.35
Somalia,Pesticides (total),2021,746.85
Somalia,Insecticides,2021,202.77
Romania,Pesticides (total),2021,5598
Romania,Insecticides,2021,822
Papua New Guinea,Pesticides (total),2021,879.96
Papua New Guinea,Insecticides,2021,8.38
Mexico,Pesticides (total),2021,43578.14
Mexico,Insecticides,2021,9968.36
Madagascar,Pesticides (total),2021,701.11
Madagascar,Insecticides,2021,273.75
India,Pesticides (total),2021,61701.9
India,Insecticides,2021,31731.2
